Heart ,exists:, 0,times,
Human ,exists:, 9,times,
Humanity ,exists:, 0,times,
Humane ,exists:, 0,times,
Feel ,exists:, 1,times,
Feeling ,exists:, 0,times,
Understand ,exists:, 0,times,
Understanding ,exists:, 1,times,
Compassionate ,exists:, 0,times,
Sympathetic ,exists:, 0,times,
Belong ,exists:, 0,times,
Belonging ,exists:, 0,times,
Person ,exists:, 9,times,
People ,exists:, 1,times,
Love ,exists:, 0,times,
Loving ,exists:, 0,times,
Community ,exists:, 1,times,
Communities ,exists:, 2,times,
Empathy ,exists:, 0,times,
Empath ,exists:, 0,times,
Empathetic ,exists:, 0,times,
Nurture ,exists:, 0,times,
Nurturing ,exists:, 0,times,
Culture ,exists:, 11,times,
Cultural ,exists:, 0,times,
Cultures ,exists:, 0,times,
Spirit ,exists:, 0,times,
Spiritual Engagement ,exists:, 0,times,
Emotional Engagement ,exists:, 0,times,
Mental Engagement ,exists:, 0,times,
Physical Engagement ,exists:, 0,times,
Inclusion ,exists:, 1,times,
Inclusive ,exists:, 0,times,
Diversity ,exists:, 1,times,
Diversify ,exists:, 0,times,
Equitable ,exists:, 0,times,
Equity ,exists:, 30,times,
Accessibility ,exists:, 4,times,
Sustainability ,exists:, 0,times,
Sustainability ,exists:, 0,times,
Collaboration ,exists:, 0,times,
Collaborative ,exists:, 0,times,
Environment ,exists:, 6,times,
Peer ,exists:, 2,times,
Peers ,exists:, 0,times,
Sensitive ,exists:, 24,times,
Sensitivity ,exists:, 1,times,
Care ,exists:, 18,times,
Caring ,exists:, 0,times,
Protect ,exists:, 27,times,
Protection ,exists:, 38,times,
Protecting ,exists:, 4,times,
Ratio,of,words,found:,38.46%
Total,number,of,words,in,document:,59746
