Heart ,exists:, 36,times,
Human ,exists:, 15,times,
Humanity ,exists:, 0,times,
Humane ,exists:, 0,times,
Feel ,exists:, 0,times,
Feeling ,exists:, 0,times,
Understand ,exists:, 3,times,
Understanding ,exists:, 12,times,
Compassionate ,exists:, 0,times,
Sympathetic ,exists:, 0,times,
Belong ,exists:, 0,times,
Belonging ,exists:, 1,times,
Person ,exists:, 112,times,
People ,exists:, 3,times,
Love ,exists:, 0,times,
Loving ,exists:, 0,times,
Community ,exists:, 10,times,
Communities ,exists:, 3,times,
Empathy ,exists:, 0,times,
Empath ,exists:, 0,times,
Empathetic ,exists:, 0,times,
Nurture ,exists:, 0,times,
Nurturing ,exists:, 0,times,
Culture ,exists:, 0,times,
Cultural ,exists:, 0,times,
Cultures ,exists:, 0,times,
Spirit ,exists:, 0,times,
Spiritual Engagement ,exists:, 0,times,
Emotional Engagement ,exists:, 0,times,
Mental Engagement ,exists:, 0,times,
Physical Engagement ,exists:, 0,times,
Inclusion ,exists:, 5,times,
Inclusive ,exists:, 2,times,
Diversity ,exists:, 4,times,
Diversify ,exists:, 2,times,
Equitable ,exists:, 8,times,
Equity ,exists:, 41,times,
Accessibility ,exists:, 2,times,
Sustainability ,exists:, 1,times,
Sustainability ,exists:, 1,times,
Collaboration ,exists:, 26,times,
Collaborative ,exists:, 3,times,
Environment ,exists:, 7,times,
Peer ,exists:, 2,times,
Peers ,exists:, 0,times,
Sensitive ,exists:, 4,times,
Sensitivity ,exists:, 0,times,
Care ,exists:, 44,times,
Caring ,exists:, 1,times,
Protect ,exists:, 30,times,
Protection ,exists:, 62,times,
Protecting ,exists:, 5,times,
Ratio,of,words,found:,53.85%
Total,number,of,words,in,document:,161574
