Heart ,exists:, 0,times,
Human ,exists:, 5,times,
Humanity ,exists:, 0,times,
Humane ,exists:, 0,times,
Feel ,exists:, 3,times,
Feeling ,exists:, 0,times,
Understand ,exists:, 35,times,
Understanding ,exists:, 12,times,
Compassionate ,exists:, 0,times,
Sympathetic ,exists:, 0,times,
Belong ,exists:, 0,times,
Belonging ,exists:, 0,times,
Person ,exists:, 75,times,
People ,exists:, 8,times,
Love ,exists:, 2,times,
Loving ,exists:, 0,times,
Community ,exists:, 3,times,
Communities ,exists:, 0,times,
Empathy ,exists:, 0,times,
Empath ,exists:, 0,times,
Empathetic ,exists:, 0,times,
Nurture ,exists:, 0,times,
Nurturing ,exists:, 0,times,
Culture ,exists:, 0,times,
Cultural ,exists:, 0,times,
Cultures ,exists:, 0,times,
Spirit ,exists:, 5,times,
Spiritual Engagement ,exists:, 0,times,
Emotional Engagement ,exists:, 0,times,
Mental Engagement ,exists:, 0,times,
Physical Engagement ,exists:, 0,times,
Inclusion ,exists:, 6,times,
Inclusive ,exists:, 4,times,
Diversity ,exists:, 4,times,
Diversify ,exists:, 2,times,
Equitable ,exists:, 1,times,
Equity ,exists:, 153,times,
Accessibility ,exists:, 1,times,
Sustainability ,exists:, 1,times,
Sustainability ,exists:, 1,times,
Collaboration ,exists:, 0,times,
Collaborative ,exists:, 0,times,
Environment ,exists:, 23,times,
Peer ,exists:, 0,times,
Peers ,exists:, 1,times,
Sensitive ,exists:, 5,times,
Sensitivity ,exists:, 1,times,
Care ,exists:, 9,times,
Caring ,exists:, 0,times,
Protect ,exists:, 6,times,
Protection ,exists:, 14,times,
Protecting ,exists:, 2,times,
Ratio,of,words,found:,50.0%
Total,number,of,words,in,document:,207369
